,Store,DayOfWeek,Date,Customers,Open,Promo,StateHoliday,SchoolHoliday
683833,9,6,2013-10-26,488,1,0,0,0
248476,1046,5,2014-12-19,943,1,1,0,0
213591,627,3,2015-01-21,474,1,0,0,0
48266,322,4,2015-06-18,647,1,1,0,0
506392,968,5,2014-04-04,979,1,1,0,0
632556,22,3,2013-12-11,500,1,0,0,0
398961,987,5,2014-07-11,857,1,0,0,1
456751,387,7,2014-05-18,0,0,0,0,0
386944,34,3,2014-07-23,767,1,0,0,1
211257,523,5,2015-01-23,1400,1,0,0,0
525455,1076,2,2014-03-18,618,1,1,0,0
598121,152,6,2014-01-11,374,1,0,0,0
480500,721,7,2014-04-27,0,0,0,0,0
719669,165,2,2013-09-24,466,1,1,0,0
634309,660,2,2013-12-10,500,1,0,0,0
688573,289,2,2013-10-22,521,1,1,0,1
751015,291,2,2013-08-27,968,1,1,0,0
654894,60,4,2013-11-21,1052,1,1,0,0
48130,186,4,2015-06-18,350,1,1,0,0
36631,952,1,2015-06-29,545,1,1,0,0
299644,747,6,2014-10-25,539,1,0,0,0
534653,239,7,2014-03-09,0,0,0,0,0
358141,257,6,2014-08-23,358,1,0,0,0
568460,596,5,2014-02-07,651,1,1,0,1
603723,179,1,2014-01-06,1316,1,1,0,1
84214,590,7,2015-05-17,0,0,0,0,0
269339,289,3,2014-11-26,563,1,1,0,0
712335,636,2,2013-10-01,534,1,0,0,0
162505,831,7,2015-03-08,0,0,0,0,0
707474,235,6,2013-10-05,321,1,0,0,0
51514,225,1,2015-06-15,755,1,1,0,0
276805,268,2,2014-11-18,507,1,0,0,0
775036,897,2,2013-08-06,257,1,0,0,1
800950,51,6,2013-07-13,542,1,0,0,0
477798,249,2,2014-04-29,567,1,1,0,1
94913,139,4,2015-05-07,599,1,1,0,0
587304,485,2,2014-01-21,393,1,1,0,0
279658,326,6,2014-11-15,531,1,0,0,0
762192,318,6,2013-08-17,436,1,0,0,0
176065,1011,2,2015-02-24,684,1,0,0,0
213058,94,3,2015-01-21,474,1,0,0,0
737650,306,7,2013-09-08,0,0,0,0,0
656635,686,3,2013-11-20,0,0,1,a,0
855995,461,6,2013-05-25,597,1,0,0,0
422733,934,3,2014-06-18,850,1,1,0,0
737513,169,7,2013-09-08,0,0,0,0,0
243384,550,3,2014-12-24,544,1,0,0,1
796429,1105,4,2013-07-18,481,1,1,0,0
662617,1093,5,2013-11-15,911,1,0,0,0
751272,548,2,2013-08-27,378,1,1,0,0
247247,699,6,2014-12-20,1375,1,0,0,0
573969,530,7,2014-02-02,0,0,0,0,0
430725,6,2,2014-06-10,651,1,0,0,0
120561,142,2,2015-04-14,638,1,1,0,0
499882,33,3,2014-04-09,717,1,0,0,0
316463,733,2,2014-10-07,3445,1,1,0,1
53629,110,6,2015-06-13,389,1,0,0,0
33934,485,3,2015-07-01,421,1,1,0,0
62590,151,5,2015-06-05,752,1,1,0,0
79975,811,4,2015-05-21,604,1,1,0,0
146388,324,7,2015-03-22,0,0,0,0,0
430844,125,2,2014-06-10,1665,1,0,0,0
161970,296,7,2015-03-08,0,0,0,0,0
289848,216,2,2014-11-04,1096,1,1,0,0
543699,365,6,2014-03-01,655,1,0,0,0
179033,634,6,2015-02-21,343,1,0,0,0
456543,179,7,2014-05-18,0,0,0,0,0
659719,425,7,2013-11-17,0,0,0,0,0
234248,99,5,2015-01-02,475,1,0,0,1
27439,680,2,2015-07-07,715,1,0,0,0
100729,380,6,2015-05-02,1591,1,0,0,0
642782,213,1,2013-12-02,844,1,1,0,0
145241,292,1,2015-03-23,836,1,0,0,0
15904,295,5,2015-07-17,705,1,1,0,0
844274,1005,3,2013-06-05,969,1,1,0,0
855704,170,6,2013-05-25,436,1,0,0,0
855259,840,7,2013-05-26,0,0,0,0,0
367329,60,3,2014-08-13,731,1,0,0,1
477052,618,3,2014-04-30,634,1,1,0,0
522547,398,4,2014-03-20,545,1,1,0,0
186490,286,6,2015-02-14,201,1,0,0,0
750607,998,3,2013-08-28,463,1,1,0,1
706409,285,7,2013-10-06,0,0,0,0,0
847894,165,6,2013-06-01,339,1,0,0,0
637876,882,6,2013-12-07,791,1,0,0,0
562831,542,3,2014-02-12,488,1,0,0,0
793054,1075,7,2013-07-21,0,0,0,0,0
164602,698,5,2015-03-06,2130,1,1,0,0
347784,173,3,2014-09-03,1148,1,1,0,0
480778,999,7,2014-04-27,0,0,0,0,0
784729,555,7,2013-07-28,0,0,0,0,0
256984,40,2,2014-12-09,735,1,0,0,0
596232,493,1,2014-01-13,674,1,0,0,0
503198,4,7,2014-04-06,0,0,0,0,0
149245,951,5,2015-03-20,822,1,1,0,0
106521,597,1,2015-04-27,695,1,1,0,0
303755,66,1,2014-10-20,565,1,1,0,0
397484,343,6,2014-07-12,608,1,0,0,0
659471,177,7,2013-11-17,0,0,0,0,0
411693,1044,6,2014-06-28,938,1,0,0,0
742622,818,3,2013-09-04,560,1,0,0,0
31059,955,6,2015-07-04,479,1,0,0,0
690710,196,7,2013-10-20,0,0,0,0,0
204093,49,4,2015-01-29,523,1,1,0,0
558594,765,7,2014-02-16,0,0,0,0,0
80427,148,3,2015-05-20,838,1,1,0,0
138154,1010,1,2015-03-30,1114,1,1,0,0
131380,926,7,2015-04-05,0,0,0,0,0
5931,357,7,2015-07-26,0,0,0,0,0
119469,165,3,2015-04-15,448,1,1,0,0
42744,375,2,2015-06-23,684,1,0,0,0
419059,605,6,2014-06-21,503,1,0,0,0
685775,836,5,2013-10-25,721,1,1,0,1
772844,935,4,2013-08-08,757,1,0,0,0
669454,125,5,2013-11-08,1681,1,1,0,0
110653,269,4,2015-04-23,1028,1,0,0,0
615491,797,5,2013-12-27,399,1,0,0,1
271485,608,1,2014-11-24,1231,1,1,0,0
69267,138,6,2015-05-30,361,1,0,0,0
485491,137,2,2014-04-22,1029,1,0,0,1
793864,770,6,2013-07-20,496,1,0,0,0
788725,91,3,2013-07-24,499,1,0,0,0
241673,746,5,2014-12-26,0,0,0,c,1
687166,1112,4,2013-10-24,867,1,1,0,1
450801,12,5,2014-05-23,842,1,1,0,0
577608,824,4,2014-01-30,773,1,0,0,0
469410,781,3,2014-05-07,844,1,1,0,0
850727,768,4,2013-05-30,1366,1,1,0,0
355998,1043,2,2014-08-26,1028,1,0,0,1
522943,794,4,2014-03-20,440,1,1,0,0
561085,1026,5,2014-02-14,1276,1,0,0,0
1924,810,4,2015-07-30,461,1,1,0,1
794073,979,6,2013-07-20,491,1,0,0,0
601504,190,3,2014-01-08,823,1,1,0,0
738370,1026,7,2013-09-08,0,0,0,0,0
695179,205,3,2013-10-16,740,1,0,0,0
413533,654,4,2014-06-26,596,1,0,0,0
789343,709,3,2013-07-24,1255,1,0,0,1
811910,976,4,2013-07-04,807,1,1,0,0
79330,166,4,2015-05-21,743,1,1,0,0
627591,632,1,2013-12-16,1301,1,1,0,0
317604,973,1,2014-10-06,1265,1,1,0,1
76714,895,7,2015-05-24,0,0,0,0,0
401430,585,2,2014-07-08,727,1,0,0,0
11786,637,2,2015-07-21,661,1,0,0,0
430768,49,2,2014-06-10,560,1,0,0,1
746898,634,6,2013-08-31,390,1,0,0,0
270871,993,2,2014-11-25,838,1,1,0,0
584814,225,4,2014-01-23,579,1,1,0,0
319256,721,6,2014-10-04,901,1,0,0,0
650180,921,2,2013-11-26,1304,1,0,0,0
87473,504,4,2015-05-14,0,0,0,a,0
549711,802,1,2014-02-24,436,1,0,0,0
311004,912,1,2014-10-13,726,1,0,0,1
686589,535,4,2013-10-24,1039,1,1,0,1
740348,774,5,2013-09-06,708,1,0,0,0
686816,762,4,2013-10-24,312,1,1,0,0
790004,255,2,2013-07-23,489,1,0,0,1
375474,856,2,2014-08-05,999,1,1,0,1
440812,58,7,2014-06-01,0,0,0,0,0
364518,53,6,2014-08-16,375,1,0,0,0
722809,1075,7,2013-09-22,0,0,0,0,0
442502,633,6,2014-05-31,676,1,0,0,0
770846,52,5,2013-08-09,551,1,0,0,1
499486,752,4,2014-04-10,469,1,0,0,0
347753,130,3,2014-09-03,592,1,1,0,1
444616,517,4,2014-05-29,0,0,0,a,0
334495,1045,4,2014-09-18,1003,1,1,0,0
98544,425,1,2015-05-04,666,1,1,0,0
394533,171,2,2014-07-15,1030,1,1,0,1
660073,779,7,2013-11-17,0,0,0,0,0
259090,328,7,2014-12-07,0,0,0,0,0
437092,798,4,2014-06-05,1006,1,1,0,0
310263,21,1,2014-10-13,396,1,0,0,0
176604,435,1,2015-02-23,383,1,0,0,0
307871,515,4,2014-10-16,645,1,0,0,1
491452,523,4,2014-04-17,2075,1,1,0,1
477088,654,3,2014-04-30,952,1,1,0,0
438211,802,3,2014-06-04,514,1,1,0,0
532845,661,2,2014-03-11,512,1,0,0,0
674749,960,1,2013-11-04,687,1,1,0,0
383847,809,7,2014-07-27,0,0,0,0,0
647584,555,4,2013-11-28,508,1,0,0,0
261957,395,4,2014-12-04,598,1,1,0,0
417891,552,7,2014-06-22,0,0,0,0,0
114457,728,1,2015-04-20,443,1,0,0,0
140138,764,6,2015-03-28,182,1,0,0,0
479028,364,1,2014-04-28,710,1,1,0,0
616341,532,4,2013-12-26,0,0,0,c,1
93490,946,6,2015-05-09,378,1,0,0,0
33584,135,3,2015-07-01,495,1,1,0,0
438030,621,3,2014-06-04,871,1,1,0,0
31928,709,5,2015-07-03,1504,1,1,0,0
212897,1048,4,2015-01-22,438,1,0,0,0
175705,651,2,2015-02-24,807,1,0,0,0
624232,618,4,2013-12-19,683,1,1,0,0
514653,309,4,2014-03-27,480,1,0,0,0
733466,582,4,2013-09-12,920,1,1,0,0
409181,762,1,2014-06-30,539,1,1,0,0
702594,930,4,2013-10-10,1138,1,1,0,0
3320,1091,3,2015-07-29,708,1,1,0,1
614656,1077,6,2013-12-28,378,1,0,0,0
304174,566,1,2014-10-20,646,1,1,0,1
228707,133,3,2015-01-07,775,1,1,0,0
300457,593,5,2014-10-24,1043,1,1,0,1
47823,994,5,2015-06-19,536,1,1,0,0
253154,1050,7,2014-12-14,0,0,0,0,0
424101,72,1,2014-06-16,759,1,1,0,1
440960,206,7,2014-06-01,0,0,0,0,0
12855,591,1,2015-07-20,560,1,0,0,0
794045,951,6,2013-07-20,689,1,0,0,0
801229,330,6,2013-07-13,469,1,0,0,0
558309,480,7,2014-02-16,0,0,0,0,0
87857,888,4,2015-05-14,0,0,0,a,0
283946,976,2,2014-11-11,740,1,1,0,0
730218,679,7,2013-09-15,0,0,0,0,0
538543,784,4,2014-03-06,1017,1,1,0,0
691578,1064,7,2013-10-20,0,0,0,0,0
730501,962,7,2013-09-15,0,0,0,0,0
550449,425,7,2014-02-23,0,0,0,0,0
410429,895,7,2014-06-29,0,0,0,0,0
152126,487,2,2015-03-17,601,1,1,0,0
439486,962,2,2014-06-03,1228,1,1,0,0
790504,755,2,2013-07-23,826,1,0,0,1
321223,833,4,2014-10-02,614,1,1,0,0
142907,188,3,2015-03-25,361,1,0,0,0
365185,852,6,2014-08-16,320,1,0,0,1
268869,839,4,2014-11-27,820,1,1,0,0
579705,691,2,2014-01-28,465,1,0,0,0
707596,357,6,2013-10-05,848,1,0,0,0
733824,940,4,2013-09-12,774,1,1,0,0
330226,411,1,2014-09-22,603,1,0,0,0
253139,1032,7,2014-12-14,0,0,0,0,0
278625,212,7,2014-11-16,0,0,0,0,0
637236,242,6,2013-12-07,324,1,0,0,0
603102,673,2,2014-01-07,776,1,1,0,0
445577,363,3,2014-05-28,802,1,0,0,0
476635,201,3,2014-04-30,662,1,1,0,0
6127,553,7,2015-07-26,0,0,0,0,0
712567,868,2,2013-10-01,628,1,0,0,0
60580,371,7,2015-06-07,0,0,0,0,0
486840,371,1,2014-04-21,0,0,0,b,1
145975,1026,1,2015-03-23,962,1,0,0,0
637321,327,6,2013-12-07,875,1,0,0,0
58558,579,2,2015-06-09,749,1,0,0,0
180421,907,5,2015-02-20,822,1,1,0,0
325453,304,6,2014-09-27,804,1,0,0,0
92518,1089,7,2015-05-10,0,0,0,0,0
131250,796,7,2015-04-05,0,0,0,0,0
119434,130,3,2015-04-15,523,1,1,0,0
575358,804,6,2014-02-01,607,1,0,0,0
45455,856,7,2015-06-21,0,0,0,0,0
129223,999,2,2015-04-07,639,1,0,0,1
58789,810,2,2015-06-09,401,1,0,0,0
269904,958,3,2014-11-26,550,1,1,0,0
38520,611,6,2015-06-27,517,1,0,0,0
669776,447,5,2013-11-08,575,1,1,0,0
186034,945,7,2015-02-15,0,0,0,0,0
151190,666,3,2015-03-18,693,1,1,0,0
800837,1053,7,2013-07-14,0,0,0,0,1
180624,1110,5,2015-02-20,642,1,1,0,0
443003,19,5,2014-05-30,910,1,0,0,0
126534,540,4,2015-04-09,388,1,0,0,1
462094,155,2,2014-05-13,533,1,0,0,0
347865,268,3,2014-09-03,707,1,1,0,1
684975,36,5,2013-10-25,1070,1,1,0,0
291518,1083,1,2014-11-03,448,1,1,0,0
795029,820,5,2013-07-19,1123,1,1,0,0
3562,218,2,2015-07-28,858,1,1,0,0
150877,353,3,2015-03-18,1632,1,1,0,0
527273,664,7,2014-03-16,0,0,0,0,0
598964,995,6,2014-01-11,745,1,0,0,0
753747,793,7,2013-08-25,0,0,0,0,0
140602,113,5,2015-03-27,517,1,0,0,0
43993,509,1,2015-06-22,473,1,0,0,0
308371,1112,4,2014-10-16,640,1,0,0,1
136636,607,2,2015-03-31,576,1,1,0,1
621513,129,6,2013-12-21,1669,1,0,0,0
771711,917,5,2013-08-09,810,1,0,0,1
812102,53,3,2013-07-03,635,1,1,0,1
692414,785,6,2013-10-19,519,1,0,0,0
200087,503,1,2015-02-02,566,1,1,0,1
90773,459,1,2015-05-11,1094,1,0,0,0
740633,1059,5,2013-09-06,963,1,0,0,0
265640,333,7,2014-11-30,0,0,0,0,0
195967,843,5,2015-02-06,1049,1,1,0,1
55882,133,4,2015-06-11,648,1,0,0,0
382910,807,1,2014-07-28,1007,1,1,0,1
492232,188,3,2014-04-16,488,1,1,0,1
236339,1075,4,2015-01-01,0,0,0,a,1
193089,195,7,2015-02-08,0,0,0,0,0
849970,11,4,2013-05-30,1225,1,1,0,0
215406,212,1,2015-01-19,404,1,0,0,0
569555,576,4,2014-02-06,976,1,1,0,1
58278,299,2,2015-06-09,705,1,0,0,0
71638,279,4,2015-05-28,585,1,0,0,1
539259,385,3,2014-03-05,689,1,1,0,1
566260,626,7,2014-02-09,0,0,0,0,0
332655,1079,6,2014-09-20,494,1,0,0,0
475982,663,4,2014-05-01,0,0,1,a,0
108223,69,6,2015-04-25,991,1,0,0,0
749162,668,4,2013-08-29,1085,1,1,0,0
498632,1013,5,2014-04-11,433,1,0,0,0
484308,69,3,2014-04-23,1106,1,0,0,1
331669,1021,7,2014-09-21,0,0,0,0,0
163130,341,6,2015-03-07,694,1,0,0,0
150720,196,3,2015-03-18,731,1,1,0,0
589531,482,7,2014-01-19,0,0,0,0,0
212713,864,4,2015-01-22,489,1,0,0,0
465516,232,6,2014-05-10,280,1,0,0,0
763149,160,5,2013-08-16,651,1,1,0,1
239311,156,7,2014-12-28,0,0,0,0,0
386476,592,4,2014-07-24,635,1,0,0,1
776958,589,7,2013-08-04,0,0,0,0,1
305870,361,6,2014-10-18,657,1,0,0,0
260123,441,6,2014-12-06,804,1,0,0,0
441130,376,7,2014-06-01,0,0,0,0,0
553568,199,4,2014-02-20,679,1,1,0,0
148886,592,5,2015-03-20,583,1,1,0,0
681080,601,2,2013-10-29,324,1,0,0,0
530898,944,4,2014-03-13,1005,1,0,0,0
280989,798,5,2014-11-14,1016,1,1,0,0
26070,426,3,2015-07-08,605,1,0,0,1
281855,720,4,2014-11-13,655,1,1,0,0
679608,244,3,2013-10-30,496,1,0,0,1
222431,547,2,2015-01-13,399,1,1,0,0
224212,98,7,2015-01-11,0,0,0,0,0
633656,7,2,2013-12-10,1076,1,0,0,0
567666,917,6,2014-02-08,458,1,0,0,0
59938,844,1,2015-06-08,472,1,0,0,0
519094,290,7,2014-03-23,0,0,0,0,0
342534,595,2,2014-09-09,1445,1,0,0,0
617955,1031,3,2013-12-25,0,0,0,c,1
416720,496,1,2014-06-23,744,1,0,0,0
346007,285,5,2014-09-05,503,1,1,0,1
596448,709,1,2014-01-13,1456,1,0,0,0
357245,307,7,2014-08-24,0,0,0,0,0
291562,19,7,2014-11-02,0,0,0,0,0
201541,842,7,2015-02-01,0,0,0,0,0
290867,314,1,2014-11-03,799,1,1,0,0
517882,193,1,2014-03-24,635,1,0,0,0
172169,460,5,2015-02-27,365,1,0,0,0
580919,790,1,2014-01-27,551,1,0,0,0
474655,451,5,2014-05-02,636,1,1,0,0
688378,94,2,2013-10-22,625,1,1,0,1
35126,562,2,2015-06-30,3310,1,1,0,0
305323,828,7,2014-10-19,0,0,0,0,0
566961,212,6,2014-02-08,315,1,0,0,0
450067,393,6,2014-05-24,547,1,0,0,0
788262,743,4,2013-07-25,389,1,0,0,1
575952,283,5,2014-01-31,684,1,0,0,0
475940,621,4,2014-05-01,0,0,1,a,0
807357,883,1,2013-07-08,532,1,0,0,0
253425,262,6,2014-12-13,3647,1,0,0,0
675380,476,7,2013-11-03,0,0,0,0,0
402462,707,1,2014-07-07,1034,1,0,0,1
498614,995,5,2014-04-11,775,1,0,0,0
367270,1103,4,2014-08-14,324,1,0,0,1
684062,238,6,2013-10-26,745,1,0,0,0
693348,604,5,2013-10-18,565,1,0,0,0
314933,15,3,2014-10-08,672,1,1,0,0
541970,866,1,2014-03-03,678,1,1,0,0
6549,975,7,2015-07-26,0,0,0,0,0
231489,685,1,2015-01-05,635,1,1,0,1
628024,1065,1,2013-12-16,726,1,1,0,0
142393,789,4,2015-03-26,514,1,0,0,0
217569,145,6,2015-01-17,862,1,0,0,0
780153,439,4,2013-08-01,1017,1,1,0,1
341433,396,3,2014-09-10,1005,1,0,0,0
60760,551,7,2015-06-07,0,0,0,0,0
785091,917,7,2013-07-28,0,0,0,0,0
679144,895,4,2013-10-31,959,1,0,0,0
520533,614,6,2014-03-22,729,1,0,0,0
601877,563,3,2014-01-08,711,1,1,0,0
332662,1087,6,2014-09-20,607,1,0,0,0
781101,272,3,2013-07-31,813,1,1,0,1
612285,936,1,2013-12-30,1080,1,0,0,1
244675,975,2,2014-12-23,1375,1,0,0,1
291823,336,7,2014-11-02,0,0,0,0,0
640833,494,3,2013-12-04,1323,1,1,0,0
520453,534,6,2014-03-22,553,1,0,0,0
657209,145,2,2013-11-19,1556,1,1,0,0
827836,177,3,2013-06-19,571,1,1,0,0
690702,188,7,2013-10-20,0,0,0,0,0
116238,279,6,2015-04-18,837,1,0,0,0
758614,85,2,2013-08-20,832,1,0,0,0
681644,50,1,2013-10-28,270,1,0,0,0
510567,683,1,2014-03-31,1275,1,1,0,0
860256,262,2,2013-05-21,3713,1,0,0,0
6593,1019,7,2015-07-26,0,0,0,0,0
265530,207,7,2014-11-30,0,0,0,0,0
274091,373,5,2014-11-21,309,1,0,0,0
543294,1075,7,2014-03-02,0,0,0,0,0
106930,1006,1,2015-04-27,1056,1,1,0,0
760106,462,1,2013-08-19,524,1,0,0,1
22767,468,6,2015-07-11,844,1,0,0,0
62169,845,6,2015-06-06,379,1,0,0,0
254557,489,5,2014-12-12,616,1,0,0,0
602913,484,2,2014-01-07,648,1,1,0,0
701808,144,4,2013-10-10,786,1,1,0,0
286234,360,6,2014-11-08,614,1,0,0,0
326032,988,6,2014-09-27,605,1,0,0,0
410007,473,7,2014-06-29,0,0,0,0,0
554172,803,4,2014-02-20,373,1,1,0,0
422123,324,3,2014-06-18,805,1,1,0,0
576398,729,5,2014-01-31,1153,1,0,0,0
757594,180,3,2013-08-21,704,1,0,0,0
714622,693,7,2013-09-29,0,0,0,0,0
859250,371,3,2013-05-22,469,1,0,0,0
587287,468,2,2014-01-21,569,1,1,0,0
737054,825,1,2013-09-09,675,1,1,0,1
790299,550,2,2013-07-23,339,1,0,0,1
576424,755,5,2014-01-31,989,1,0,0,0
325118,1014,7,2014-09-28,0,0,0,0,0
124707,943,6,2015-04-11,605,1,0,0,0
448885,326,7,2014-05-25,0,0,0,0,0
301453,672,4,2014-10-23,1362,1,1,0,1
116239,280,6,2015-04-18,541,1,0,0,0
46626,912,6,2015-06-20,820,1,0,0,0
224796,682,7,2015-01-11,1155,1,0,0,0
738827,368,6,2013-09-07,661,1,0,0,0
66117,333,2,2015-06-02,1542,1,1,0,0
743937,1018,2,2013-09-03,1255,1,0,0,0
861690,581,1,2013-05-20,0,0,0,a,0
279944,665,6,2014-11-15,894,1,0,0,0
326849,850,5,2014-09-26,567,1,0,0,0
630703,399,5,2013-12-13,630,1,0,0,0
828684,1025,3,2013-06-19,911,1,1,0,0
846716,102,7,2013-06-02,0,0,0,0,0
252684,486,7,2014-12-14,0,0,0,0,0
446493,164,2,2014-05-27,517,1,0,0,0
461359,535,3,2014-05-14,865,1,0,0,0
102475,1011,5,2015-05-01,0,0,1,a,0
603352,923,2,2014-01-07,675,1,1,0,0
544204,870,6,2014-03-01,662,1,0,0,0
335147,715,3,2014-09-17,786,1,1,0,0
491611,682,4,2014-04-17,2352,1,1,0,1
749450,956,4,2013-08-29,544,1,1,0,1
103169,590,4,2015-04-30,475,1,1,0,0
721771,37,7,2013-09-22,0,0,0,0,0
778922,323,5,2013-08-02,657,1,1,0,1
475832,513,4,2014-05-01,0,0,1,a,0
432743,909,1,2014-06-09,0,0,0,a,0
784825,651,7,2013-07-28,0,0,0,0,0
391119,556,6,2014-07-19,622,1,0,0,0
56772,1023,4,2015-06-11,481,1,0,0,0
140196,822,6,2015-03-28,662,1,0,0,0
278011,586,1,2014-11-17,2144,1,0,0,0
87269,300,4,2015-05-14,0,0,0,a,0
775443,189,1,2013-08-05,779,1,0,0,1
432614,780,1,2014-06-09,0,0,0,a,0
96406,517,3,2015-05-06,704,1,1,0,0
387305,464,3,2014-07-23,1145,1,0,0,1
224102,1103,1,2015-01-12,486,1,1,0,0
165579,560,4,2015-03-05,1707,1,1,0,0
28666,792,1,2015-07-06,616,1,0,0,1
431051,332,2,2014-06-10,589,1,0,0,0
406304,829,4,2014-07-03,759,1,1,0,0
848192,463,6,2013-06-01,663,1,0,0,0
376570,1045,1,2014-08-04,1554,1,1,0,1
675962,1058,7,2013-11-03,0,0,0,0,0
463672,618,1,2014-05-12,481,1,0,0,0
125514,635,5,2015-04-10,593,1,0,0,0
540485,496,2,2014-03-04,849,1,1,0,0
337634,332,7,2014-09-14,0,0,0,0,0
257583,762,2,2014-12-09,376,1,0,0,0
727545,236,2,2013-09-17,827,1,0,0,0
213213,249,3,2015-01-21,463,1,0,0,0
513463,234,5,2014-03-28,876,1,0,0,0
676664,645,6,2013-11-02,1722,1,0,0,0
192846,1067,1,2015-02-09,443,1,0,0,0
351602,265,6,2014-08-30,245,1,0,0,0
287949,179,4,2014-11-06,1076,1,1,0,0
582026,782,7,2014-01-26,0,0,0,0,0
417768,429,7,2014-06-22,0,0,0,0,0
192175,396,1,2015-02-09,998,1,0,0,1
299855,992,6,2014-10-25,417,1,0,0,0
559205,261,6,2014-02-15,689,1,0,0,0
598315,346,6,2014-01-11,512,1,0,0,0
111450,1066,4,2015-04-23,1006,1,0,0,0
576982,198,4,2014-01-30,266,1,0,0,0
268334,206,4,2014-11-27,1016,1,1,0,0
219839,185,4,2015-01-15,609,1,1,0,0
623962,348,4,2013-12-19,979,1,1,0,0
841714,675,5,2013-06-07,565,1,1,0,0
119542,238,3,2015-04-15,1143,1,1,0,0
859350,471,3,2013-05-22,471,1,0,0,1
218334,910,6,2015-01-17,479,1,0,0,0
513714,485,5,2014-03-28,416,1,0,0,0
93977,318,5,2015-05-08,757,1,1,0,0
786726,322,5,2013-07-26,478,1,0,0,1
387811,1070,3,2014-07-23,702,1,0,0,0
276664,94,2,2014-11-18,484,1,0,0,0
479738,1074,1,2014-04-28,759,1,1,0,0
476674,240,3,2014-04-30,569,1,1,0,0
41951,697,3,2015-06-24,859,1,0,0,0
67563,664,1,2015-06-01,930,1,1,0,0
732569,800,5,2013-09-13,584,1,1,0,0
288699,1068,4,2014-11-06,319,1,1,0,0
31137,1033,6,2015-07-04,864,1,0,0,0
831891,887,7,2013-06-16,0,0,0,0,0
716198,39,5,2013-09-27,629,1,1,0,0
100518,169,6,2015-05-02,616,1,0,0,0
729463,1039,1,2013-09-16,775,1,0,0,0
450960,171,5,2014-05-23,898,1,1,0,0
594613,1104,3,2014-01-15,303,1,0,0,0
354533,408,3,2014-08-27,389,1,0,0,1
35407,843,2,2015-06-30,1261,1,1,0,0
650844,470,1,2013-11-25,1666,1,0,0,0
503652,458,7,2014-04-06,0,0,0,0,0
132346,777,6,2015-04-04,569,1,0,0,0
